Class,AUC
plane,0.9032578888888889
car,0.9054035555555555
bird,0.8104504444444444
cat,0.7867388888888889
deer,0.8399224444444444
dog,0.8214616666666666
frog,0.8985462222222222
horse,0.8864040555555556
ship,0.9228438888888888
truck,0.8953108888888888
