,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,597,25,55,37,33,11,23,15,137,67
car,39,609,21,37,4,9,27,16,77,161
bird,78,22,362,147,121,76,109,45,17,23
cat,25,18,64,478,38,162,119,41,22,33
deer,35,6,140,115,375,56,146,78,29,20
dog,23,10,62,277,42,425,60,59,20,22
frog,6,15,54,136,53,33,662,9,12,20
horse,34,12,43,116,59,77,26,564,16,53
ship,87,49,17,35,11,16,12,10,709,54
truck,47,141,18,56,8,17,21,31,65,596
