Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Test Accuracy
1,1.315369382785384,38.34,1.2100018471479417,43.84,44.91
2,1.1271503066561024,48.17,1.1481531590223313,47.09,48.83
3,1.0335987217866691,52.5425,1.0860167101025582,50.09,51.68
4,0.9503872083250884,56.85,1.0770542353391648,51.25,51.76
5,0.8784302127589086,59.8875,1.0476877778768539,52.36,53.26
6,0.812611837675617,63.445,1.045233142375946,53.39,53.95
7,0.7363711303206766,66.9,1.0354976966977119,53.89,54.18
8,0.6771633928748453,69.9125,1.064696803689003,54.37,54.99
9,0.604732882824673,73.335,1.1165674343705176,54.15,54.73
10,0.5352842695773787,76.7575,1.1187024638056755,53.1,53.4
11,0.47873861774517473,79.51,1.1919524654746056,53.4,53.71
12,0.41907531193866854,82.6925,1.188522955775261,54.1,53.03
13,0.36007198197826457,85.5025,1.1947997257113456,53.16,53.41
14,0.3217172224999993,87.2,1.2095786452293396,53.79,53.86
15,0.2766321849101668,89.36,1.2262947469949723,53.46,53.78
16,0.23858932761629675,91.0375,1.2541986674070358,54.39,53.78
17,0.21383617011604794,92.13,1.3202625274658204,53.1,53.96
18,0.19313701579145565,93.2875,1.2631641656160355,53.63,54.11
19,0.17712131009739676,93.8825,1.3060790657997132,54.12,53.77
20,0.15770278273114732,94.63,1.3225295126438141,53.96,54.18
21,0.14267045966569025,95.27,1.3103359401226045,53.85,54.15
22,0.12323964278029788,96.1375,1.334740287065506,53.33,53.81
23,0.13374020880574633,95.4875,1.3796440571546555,53.58,53.24
24,0.12181712929040762,95.98,1.3383867770433426,53.63,53.48
25,0.10323572139831105,96.745,1.3309689730405807,53.82,53.97
26,0.10170650999447342,96.71,1.4167968660593033,52.56,52.78
27,0.10442853854245442,96.6825,1.3764614820480348,53.28,53.17
28,0.09509193069141382,96.9375,1.3771338701248168,54.4,53.77
29,0.09122795782461288,97.0975,1.3687432885169983,53.57,53.62
30,0.07871740373076906,97.6225,1.4127281814813615,53.01,53.37
31,0.09859091162112109,96.5875,1.41600643992424,53.01,52.83
32,0.10001405295293042,96.6575,1.381715677678585,53.29,53.4
33,0.08921532017315269,96.9225,1.3550683230161666,52.73,53.61
34,0.07814955431374775,97.4025,1.3634988963603973,53.88,54.46
35,0.0859180764787516,97.165,1.3802077263593673,53.89,54.03
36,0.05798196417700713,98.2975,1.3469838798046112,53.91,54.24
37,0.06002913012056594,98.1575,1.3508300274610519,53.8,54.15
38,0.08714487790397019,97.0475,1.4055693954229356,54.09,53.83
39,0.06511159464242353,97.9625,1.370867593586445,53.89,54.45
40,0.06071149776126169,98.0825,1.387617641687393,53.99,54.28
41,0.07299777718296477,97.54,1.390307569503784,54.19,53.67
42,0.0729987372401034,97.5325,1.3950360625982285,53.61,53.65
43,0.0565734025636676,98.2775,1.4223622620105743,52.92,53.32
44,0.05858292441316851,98.095,1.3896866589784622,53.67,53.83
45,0.05916480542083455,98.08,1.4157198533415793,53.23,54.24
46,0.07078801857153322,97.5425,1.4086617723107338,53.03,53.32
47,0.06689491528709224,97.795,1.4153194636106492,53.66,53.35
48,0.0615468281706807,97.985,1.434490332007408,52.92,53.5
49,0.06070493990970645,97.995,1.38387541025877,53.72,53.47
50,0.04763918639320856,98.505,1.408993723988533,54.04,53.52
