,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,879,5,32,15,9,2,5,7,32,14
car,5,940,1,3,0,1,1,0,11,38
bird,30,1,804,41,51,30,26,13,4,0
cat,12,1,40,732,34,108,38,21,6,8
deer,10,1,30,32,859,21,18,27,2,0
dog,6,1,21,120,26,790,6,26,2,2
frog,6,1,24,32,15,9,908,1,2,2
horse,10,1,10,25,32,34,1,879,3,5
ship,36,11,1,9,2,1,1,3,924,12
truck,23,45,3,9,1,1,1,1,12,904
