Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Test Accuracy
1,1.313105227081639,38.6425,1.2008101046085358,43.63,45.48
2,1.1312315437444456,47.7525,1.1309962689876556,47.07,48.13
3,1.0444502355946097,51.955,1.0831123009324073,50.07,51.3
4,0.9756496491705536,55.46,1.0940555810928345,49.99,50.2
5,0.9141542118066436,58.4625,1.029350183904171,52.48,53.04
6,0.8488367374535579,61.66,1.0345888808369637,53.31,53.2
7,0.7886586701794035,64.89,1.0216445490717887,53.45,54.3
8,0.7247938699783034,67.9425,1.0292281270027162,54.58,54.88
9,0.6660681883240961,70.6825,1.020871388912201,54.41,55.21
10,0.603759844022192,73.84,1.054968473315239,54.0,55.1
11,0.546545417065833,76.695,1.0703569963574409,53.74,54.38
12,0.48738115456453557,79.9125,1.0860728025436401,54.25,54.63
13,0.43467206256404806,82.53,1.121911744773388,53.94,53.9
14,0.3809741691798921,85.1075,1.1286453023552894,54.49,55.42
15,0.3375858956841147,87.2975,1.1456302121281623,54.54,54.62
16,0.2910459283620689,89.745,1.16809092015028,55.05,54.99
17,0.251258415781009,91.5475,1.2139043033123016,53.83,54.28
18,0.22048678481654757,92.895,1.2067600905895233,54.28,54.47
19,0.19337379068705687,94.25,1.2381325572729112,54.09,54.49
20,0.16985454937075353,95.1175,1.272489181160927,53.86,54.46
21,0.14192896236659616,96.335,1.2390735030174256,54.44,54.51
22,0.13712711399717695,96.3675,1.2643020182847977,54.33,54.74
23,0.12004211312456495,97.16,1.267660802602768,53.83,53.69
24,0.1011856187870548,97.6775,1.3003888964653014,53.28,53.93
25,0.08849114317233396,98.215,1.2521420374512673,54.63,54.68
26,0.07552874788262282,98.575,1.2504615664482117,54.4,55.09
27,0.07602377299954936,98.4775,1.2645264714956284,53.64,54.55
28,0.06892432032781802,98.7325,1.2864481598138808,53.51,54.64
29,0.06074433159201768,98.85,1.2523343592882157,54.37,54.91
30,0.06109593832378934,98.78,1.3030275702476501,53.32,53.07
31,0.05086931149671032,99.115,1.2335670650005341,54.31,55.04
32,0.038227544990694445,99.4625,1.2299045413732528,54.6,55.35
33,0.05464547047996597,98.7325,1.2764110177755357,53.15,53.93
34,0.04436303746358604,99.1575,1.2406733810901642,55.04,55.84
35,0.019568346233172402,99.83,1.2060941249132155,54.91,55.76
36,0.023998248788296796,99.64,1.2350560307502747,54.44,55.73
37,0.04444753759463502,98.9575,1.287163895368576,54.49,54.91
38,0.032615842184965396,99.435,1.243320307135582,54.57,54.97
39,0.017183088181409865,99.79,1.2462324738502502,54.68,55.24
40,0.012923049437961761,99.8975,1.2446889728307724,54.78,55.27
41,0.03201475378814017,99.2575,1.3205578356981278,53.09,54.22
42,0.032705443579062916,99.33,1.2797940105199814,54.29,54.18
43,0.020635078038284734,99.7125,1.254568523168564,54.96,54.89
44,0.0269181407620288,99.505,1.2893077552318573,53.79,54.62
45,0.021683691917758458,99.6375,1.2766830772161484,53.87,54.71
46,0.03134410604122718,99.2275,1.3364323735237122,53.3,53.52
47,0.021487269509037968,99.58,1.2400291502475738,55.06,55.69
48,0.007572483280258384,99.9425,1.2270464688539504,55.27,55.94
49,0.005672547123899125,99.9525,1.2268989235162735,55.18,55.77
50,0.006198539320011712,99.94,1.2390160650014876,54.97,55.72
