,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,658,30,42,34,30,13,21,14,100,58
car,37,652,17,26,11,16,21,19,44,157
bird,85,12,431,109,108,70,84,67,16,18
cat,20,24,95,417,65,207,84,40,22,26
deer,41,7,141,74,480,65,77,77,20,18
dog,20,5,75,211,68,472,58,55,18,18
frog,9,9,91,106,64,66,615,9,12,19
horse,46,11,50,76,66,104,19,578,8,42
ship,93,59,17,34,12,17,11,12,687,58
truck,49,150,13,50,9,22,15,43,45,604
