,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,665,33,44,25,20,18,24,14,107,50
car,46,676,13,23,9,5,18,11,64,135
bird,76,24,429,91,108,79,94,57,20,22
cat,34,21,84,346,57,232,102,56,30,38
deer,51,14,141,94,435,55,89,83,17,21
dog,30,17,72,210,63,443,67,67,13,18
frog,13,24,84,111,74,40,606,13,19,16
horse,43,16,61,68,63,83,21,597,15,33
ship,120,55,23,27,21,22,10,6,664,52
truck,56,156,16,41,8,22,24,41,46,590
