Class,AUC
plane,0.9112242222222222
car,0.9250813333333333
bird,0.8235719444444444
cat,0.796936611111111
deer,0.8513751111111111
dog,0.8427967777777777
frog,0.9125508888888888
horse,0.8935659999999999
ship,0.9258161666666667
truck,0.8952051666666666
