,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,602,27,59,24,46,21,18,27,131,45
car,37,616,21,25,21,17,15,35,81,132
bird,67,8,418,69,181,94,67,53,25,18
cat,18,12,105,327,98,232,88,63,21,36
deer,24,6,119,46,554,74,70,67,28,12
dog,19,6,78,152,83,512,42,73,16,19
frog,5,14,76,94,121,75,579,14,8,14
horse,26,4,39,65,121,110,15,578,13,29
ship,82,54,17,31,31,15,14,9,698,49
truck,38,151,17,33,24,26,20,53,72,566
