Class,AUC
plane,0.9209050555555555
car,0.9308841666666666
bird,0.8304297777777778
cat,0.8242050555555556
deer,0.8638841111111111
dog,0.850914
frog,0.9145594444444445
horse,0.8937070555555554
ship,0.9325272777777778
truck,0.9020069999999999
