,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,639,24,47,34,34,24,18,22,109,49
car,43,626,12,30,15,15,17,15,74,153
bird,71,13,400,114,133,78,82,70,14,25
cat,25,12,72,397,69,202,102,58,26,37
deer,48,8,129,76,480,60,73,83,28,15
dog,22,6,67,221,72,451,54,70,14,23
frog,15,13,75,105,84,55,608,9,11,25
horse,46,11,44,73,91,83,17,593,10,32
ship,97,55,14,32,19,21,12,11,676,63
truck,55,160,18,29,16,23,22,43,63,571
