,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,886,8,21,13,7,1,3,7,40,14
car,7,944,0,1,1,0,1,1,12,33
bird,32,0,814,31,37,33,35,8,4,6
cat,13,3,46,722,35,114,28,17,13,9
deer,11,0,43,25,855,24,21,18,2,1
dog,5,1,31,96,23,811,6,26,0,1
frog,3,1,40,32,14,9,896,3,1,1
horse,14,0,15,22,29,33,3,879,1,4
ship,37,13,4,5,0,1,5,1,926,8
truck,15,38,4,1,3,1,2,2,14,920
