Class,AUC
plane,0.9818662222222222
car,0.9940381111111111
bird,0.9620503888888889
cat,0.9451542222222222
deer,0.976424111111111
dog,0.9655518888888889
frog,0.9860094444444444
horse,0.9862547777777777
ship,0.9915449999999999
truck,0.9922148888888889
