,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,825,21,46,10,12,2,7,9,35,33
car,23,893,2,3,0,3,5,1,11,59
bird,61,3,721,38,55,40,43,25,7,7
cat,20,8,69,567,36,171,69,34,14,12
deer,13,2,49,27,765,41,39,57,7,0
dog,15,1,49,120,33,717,13,45,5,2
frog,6,1,43,37,19,12,871,7,2,2
horse,14,1,29,26,29,38,2,857,0,4
ship,70,29,10,3,4,2,6,1,853,22
truck,24,39,6,8,2,1,3,6,12,899
