,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,664,34,32,19,23,11,19,22,125,51
car,31,658,15,25,12,13,14,31,67,134
bird,110,17,377,83,114,82,89,81,27,20
cat,38,31,78,344,46,198,117,83,25,40
deer,47,14,112,83,428,62,95,116,23,20
dog,29,11,56,192,64,443,60,112,19,14
frog,12,22,69,103,66,42,634,17,12,23
horse,42,13,27,69,52,80,19,660,9,29
ship,84,72,13,32,23,12,10,15,692,47
truck,53,181,16,30,8,21,25,44,61,561
