Class,AUC
plane,0.9081764444444445
car,0.9108021111111111
bird,0.7945556666666665
cat,0.7868196666666667
deer,0.8312116666666667
dog,0.8178212222222222
frog,0.9017143333333334
horse,0.8863112222222223
ship,0.9139613333333333
truck,0.8779120555555555
