,plane,car,bird,cat,deer,dog,frog,horse,ship,truck
plane,613,27,58,27,52,16,18,13,138,38
car,46,667,15,25,20,8,16,8,90,105
bird,84,13,411,104,148,83,85,36,21,15
cat,23,18,85,435,92,162,100,37,23,25
deer,36,8,128,71,517,54,97,50,27,12
dog,26,9,75,239,77,430,59,46,18,21
frog,8,24,63,112,100,53,605,7,12,16
horse,32,22,62,83,126,80,29,526,8,32
ship,67,51,13,37,27,15,7,7,733,43
truck,50,174,28,36,20,25,22,25,87,533
